"Study","Excl1","Excl2"
"SatgerEtienneEAix Marseille Univ, 2024Jul20","Publication type",NA
"Van OosterwijckSophieSSpine, 2024Jul17","Publication type",NA
"NakagataTakashiT0000-0003-4326-3604Department of Physical Activity Research, 2024Jul18",NA,"Not_comparison"
"LendtClaasC0000-0003-4299-4739Institute for Movement Therapy and Movement-Oriented Prevention and Rehabilitation, 2024Jul17",NA,"Not_comparison"
"AyshaTubaTCentre for Physiotherapy and Rehabilitation Sciences, 2024Apr-Jun","Publication type",NA
"HeShichunSChinese Center of Exercise Epidemiology, 2024Jul08",NA,"Not_comparison"
"HattonAnna LALSchool of Health and Rehabilitation Sciences, 2024May31",NA,"Not_comparison"
"ChenYung-ChihYCDepartment of Physical Education and Sport Sciences, 2024May20",NA,"Not_comparison"
"Maroto-RodriguezJavierJDepartment of Preventive Medicine and Public Health, 2024May01",NA,"Not_comparison"
"Skj&#xf8;dtMathiasM0000-0002-3713-784XDepartment of Sports Science and Clinical Biomechanics, 2024Jul01",NA,"Not_comparison"
"CucatoGabrielGDepartment of Sport, 2024May02",NA,"Not_comparison"
"StoreyKionte KKKDepartment of Kinesiology, 2024Apr06","Exercise equipment",NA
"NaughtonViolettaVSchool of Biomedical Sciences, 2024",NA,"Non-human studies"
"LiaoChun-DeCD0000-0002-1930-4915International Ph.D. Program in Gerontology and Long-Term Care, 2024Mar25","Publication type",NA
"KeadleSarah KSK0000-0002-9569-9306Department of Kinesiology and Public Health, 2024Apr08",NA,"Not_comparison"
"Baltasar-FernandezIvanIGENUD Toledo Research Group, 2024",NA,"Not_comparison"
"KimJihoonJ0000-0002-0908-9035University of Texas at Austin, 2024Mar28",NA,"Not_comparison"
"FlorindoMargaridaM0000-0003-2466-6942CBIOS-Research Center for Biosciences &amp; Health Technologies, 2024Feb08",NA,"Not_comparison"
"ElfghiMarahMSchool of Medicine, 2024Feb14",NA,"Not_comparison"
"Landers-RamosRian QRQ0000-0002-3092-2538Department of Kinesiology, 2024Mar01",NA,"Not_comparison"
"SnowdonDavid ADA0000-0003-2041-3120Peninsula Clinical School, 2024Jan12","Publication type",NA
"AnnearMichaelMFaculty of Sport Sciences, 2024Apr01",NA,"Not_comparison"
"SeolJaehoonJResearch Center for Overwork-Related Disorders, 2024Jan02",NA,"Not_comparison"
"KorenYaelYRobert and Donna Manning College of Nursing &amp; Health Sciences, 2024Apr",NA,"Not_comparison"
"FaganMatthew JamesMJSchool of Kinesiology, 2023Dec21",NA,"Molecular/genetic focus"
"MaresovaPetraP0000-0002-1218-501XFaculty of Informatics and Management, 2023",NA,"Not_comparison"
"KarmakarPalashPDepartment of Sport, 2023Oct26","Cognitive focus",NA
"AssiSaharSCochlear Center for Hearing and Public Health, 2023Nov17","Cognitive focus",NA
"SayarRezaRSchool of Exercise Science, 2023Oct",NA,"Not_comparison"
"KasaharaRyuichiRKita-Fukushima Medical Center, 2023Jan-Dec",NA,"Not_comparison"
"ShinJang-HoonJHDepartment of Physical Therapy, 2023Nov08",NA,"Not_comparison"
"ReidLauren ALA0000-0003-1021-8364South College, 2024Jan01","Age inappropriate",NA
"S&#xfc;keiEmeseE0000-0002-8626-7026Department of Signal Theory and Communications, 2023Oct30",NA,"Not_comparison"
"ChengHaiyingH, 2024Feb",NA,"Not_comparison"
"PuAlexA0000-0002-7829-9845Clinical Trials and Outcomes Branch, 2024Jan01",NA,"Not_comparison"
"Boa Sorte SilvaN&#xe1;rlon CNC0000-0002-4847-3742Djavad Mowafaghian Centre for Brain Health, 2024May","Cognitive focus",NA
"ZhengDaniel K YDKYHong Kong Polytechnic University, 2023","Publication type",NA
"PerryCynthia KCKOregon Health &amp; Science University School of Nursing, 2023Oct02","Publication type",NA
"Gunes-BayirAyseA0000-0002-9993-7850Department of Nutrition and Dietetics, 2023Sep19","Other",NA
"MaEEHealth Promotion Center, 2023Nov",NA,"Not_comparison"
"YabroudiMohammad AMADivision of Physical Therapy, 2024",NA,"Not_comparison"
"Ch&#xe1;vez-GuevaraIsaac AIA0000-0001-9773-5043Department of Chemical Sciences, 2023Dec","Publication type",NA
"RogersEmily MEM0000-0003-2643-2904Integrative Laboratory of Applied Physiology and Lifestyle Medicine, 2023Oct01",NA,"Molecular/genetic focus"
"KuoFeng-ChihFCDivision of Endocrinology and Metabolism, 2024Feb",NA,"Not_comparison"
"KoschkerAnn-CathrinACDept. Internal Medicine I, 2023Oct","Disease-related",NA
"HongHsien-JangHJSchool of Gerontology and Long-Term Care, 2023Sep",NA,"Molecular/genetic focus"
"FrielCiaran PCP0000-0001-9882-2851Institute of Health System Science, 2023Jun14","Publication type",NA
"WeissSophie MSM0000-0001-8326-6944Temerty Faculty of Medicine, 2023Jan-Dec",NA,"Not_comparison"
"RichardsonJulieJ0000-0001-6356-0492School of Rehabilitation Science, 2023Aug27","Publication type",NA
"AnsariMishaMSchool of Health Sciences, 2023Jun","Publication type",NA
"ChoiSunyeobS0000-0001-9879-2947College of Nursing, 2023Dec",NA,"Not_comparison"
"DadhaniaSeemaS0000-0002-5482-1803Computational Oncology Group, 2023",NA,"Not_comparison"
"ScheffersLinda ElisabethLEFrom the Department of Paediatric Gastroenterology, 2023Aug01","Age inappropriate",NA
"DallawayAlexanderA0000-0002-2116-6654School of Public Health Studies, 2023Apr18",NA,"Not_comparison"
"SwinnenNathalieN0000-0003-0087-8967Department of Rehabilitation Sciences, 2023Feb23","Cognitive focus",NA
"FerreiraKleber Rodolfo AlbinoKRAApplied Kinesiology Laboratory, 2023Jan",NA,"Not_comparison"
"VolterraniMaurizioMDepartment of Rehabilitation Cardiology, 2023Jan17",NA,"Not_comparison"
"ZhangXiaoyuanX0000-0002-0179-9032Department of Physical Education, 2023Jul",NA,"Not_comparison"
"PhillipsJenniferJ0000-0002-4420-086XPhysiotherapy, 2023Jan25","Publication type",NA
"HawkinsRebecca MRM0000-0002-5816-8186University of Lincoln., 2024Mar",NA,"Not_comparison"
"MaylorBenjamin DBDInstitute for Sport and Physical Activity Research, 2023Mar01",NA,"Not_comparison"
"Puig-RiberaAnnaAResearch Group in Sports and Physical Activity (GREAF), 2022Dec27",NA,"Not_comparison"
"ChoSu-YounSYExercise Physiology Laboratory, 2022Dec16","Exercise equipment",NA
"ChenFeng-TzuFTDepartment of Sports Medicine, 2022","Cognitive focus",NA
"McCormackGavin RGR0000-0003-0674-0838Cumming School of Medicine, 2022",NA,"Not_comparison"
"LeeChunheeCChunhee Lee, 2022 Nov-Dec 01",NA,"Not_comparison"
"DowneyRachelRDepartment of Psychology, 2022","Cognitive focus",NA
"KimMijongMDepartment of Nursing, 2022Sep",NA,"Not_comparison"
"FernandezDanielDGeriatric Research, 2023Jun","Publication type",NA
"HongKevinK, 2022 Nov-Dec 01","Publication type",NA
"VishwanathVarnitaVArizona College of Osteopathic Medicine, 2023Mar01",NA,"Not_comparison"
"HamadaRyotaRRehabilitation Unit, 2023Jan",NA,"Not_comparison"
"De SmetStefanSDepartment of Rehabilitation Sciences, 2023Jan01","Publication type",NA
"Sartore-BaldwinMelanie LMLDepartment of Kinesiology, 2022Sep28",NA,"Not_comparison"
"RubinDaniel SDSDepartment of Anesthesia and Critical Care, 2022May-Aug","Disease-related",NA
"HasanFaizulFSchool of Nursing, 2022Oct","Publication type",NA
"Mora-GonzalezJoseJPROFITH ""PROmoting FITness and Health Through Physical Activity"" Research Group, 2022Sep08","Exercise equipment",NA
"FairhallNicola JNJInstitute for Musculoskeletal Health, 2022Sep07","Publication type",NA
"Watkins-MartinKiaKDepartment of Educational and Counselling Psychology, 2022Dec01",NA,"Not_comparison"
"SantosPaula ClaraPCDepartment of Physiotherapy, 2023","Cognitive focus",NA
"SouzaAna Lu&#xed;sa Kuehn deALK0000-0001-9904-4561BHSc. Student, 2022Sep-Oct",NA,"Not_comparison"
"WattsEleanor LELDivision of Cancer Epidemiology and Genetics, 2022Aug01","Disease-related",NA
"AkinciZeynep SZSGrup d'Estudis en Mobilitat, 2022Aug15","Publication type",NA
"YangShih-HsienSHDepartment of Rehabilitation Medicine, 2022Aug04",NA,"Not_comparison"
"LiLijunL0000-0003-2166-6429The Third Xiangya Hospital of Central South University, 2023Jan","Disease-related",NA
"SethMayankM0000-0003-3526-7058Delaware Limb Loss Studies, 2022Jul07",NA,"Not_comparison"
"CallisonW &#xc9;amonW&#xc9;Department of Human Evolutionary Biology, 2022Jul01",NA,"Not_comparison"
"MengDeyuD0000-0002-3270-9829Chinese Center of Exercise Epidemiology, 2022Jun07",NA,"Not_comparison"
"GeohagenOlyviaODepartment of Population Health Sciences, 2022Jun01","Publication type",NA
"LambeKKDepartment of Population Health Sciences, 2022Jun11","Publication type",NA
"TuRenjieRSchool of Sport Medicine and Physical Therapy, 2022",NA,"Not_comparison"
"ThallerLisaL0000-0002-0036-2699Department of Sports Science, 2022Jun01",NA,"Not_comparison"
"YuDanny JDJDivision of Kinesiology, 2023Jun",NA,"Not_comparison"
"NelsonRachael KRKSchool of Health Sciences, 2022Apr14","Exercise equipment",NA
"BhatiaDominikaDInstitute of Health Policy, 2022Dec01","Publication type",NA
"RoscoeCharlotteC0000-0002-9169-6458MRC Centre for Environment and Health, 2022Apr02",NA,"Molecular/genetic focus"
"TsaoTsung-MingTMThe Experimental Forest, 2022Mar15",NA,"Not_comparison"
"SrivastavaShobhitS0000-0002-6926-7649International Institute for Population Sciences, 2022Mar14",NA,"Not_comparison"
"ItoKumikoK0000-0002-4270-1740Division of Epidemiology, 2022Jul",NA,"Not_comparison"
"VanderlindenJJDepartment of Movement Sciences, 2022Feb19",NA,"Not_comparison"
"CollinsTracieT0000-0002-5959-9172College of Population Health, 2022Feb03",NA,"Not_comparison"
"PanickerRohit MuralidharRMDepartment of Exercise and Sports Sciences, 2022","Publication type",NA
"AdamsMarc AMACollege of Health Solutions, 2022Feb",NA,"Not_comparison"
"PhoobangkerdpholChalidaCDepartment of Rehabilitation Medicine, 2022Apr",NA,"Not_comparison"
"BoulmpouAristiAThird Department of Cardiology, 2022Mar-Apr","Publication type",NA
"FanningJasonJ0000-0002-5527-1698Department of Health and Exercise Science, 2022Dec29",NA,"Not_comparison"
"AstermarkJanJ0000-0001-8500-2483Department of Translational Medicine, 2022Jan",NA,"Molecular/genetic focus"
"KimHeontaeH0000-0002-8452-4527School of Applied Sciences, 2022Mar",NA,"Not_comparison"
"DurenMichelleMJohns Hopkins Bloomberg School of Public Health, 2021Dec",NA,"Not_comparison"
"ArenjaNishaNDepartment of Cardiology, 2021Dec01",NA,"Molecular/genetic focus"
"TanakaNoriko INIResearch Center of Health, 2021Nov",NA,"Molecular/genetic focus"
"MartelliSauloSSchool of Mechanical, 2021Dec","Publication type",NA
"MalatestaDavideD0000-0003-3905-5642Institute of Sport Sciences of the University of Lausanne (ISSUL), 2022Feb","Exercise equipment",NA
"KatagiraWinceslausW0000-0003-4622-191XMakerere University Lung Institute, 2021Aug10","Publication type",NA
"KingAbby CACDepartment of Epidemiology &amp; Population Health, 2021Sep","Publication type",NA
"BesserLilah MLM0000-0001-9945-0877Department of Urban and Regional Planning and Institute for Human Health and Disease Intervention, 2021Jul28","Cognitive focus",NA
"AwaisMuhammadM0000-0001-6421-9245Department of Computer Science, 2021Jul07",NA,"Not_comparison"
"PatchChristina MCM0000-0003-0947-7115University of California, 2021Sep15",NA,"Not_comparison"
"LeeEun-LeeELDepartment of Rehabilitation Medicine, 2022Mar",NA,"Not_comparison"
"L&#xf3;pez Fern&#xe1;ndezJorgeJ0000-0001-9489-3249Centre for Sport, 2021Jun29",NA,"Not_comparison"
"Mendez ColmenaresAndreaADepartment of Human Development and Family Studies/Molecular, 2021Oct01","Cognitive focus",NA
"Tu&#xf1;&#xf3;n-Su&#xe1;rezMauroMExercise Physiology and Metabolism Laboratory, 2021Oct01","Publication type",NA
"KampeKarinKDepartment of Clinical Gerontology, 2021Jun12","Disease-related",NA
"RantalainenTimoT0000-0001-6977-4782Faculty of Sport and Health Sciences and Gerontology Research Center, 2021Sep","Age inappropriate",NA
"GeYujieYRehabilitation Department, 2022Dec",NA,"Not_comparison"
"JonesKatherineKCochrane Pain, 2021May24","Publication type",NA
"WangLinLDepartment of Rehabilitation Medicine, 2021May22","Publication type",NA
"JosephRodney PRP0000-0001-5162-7637Center for Health Promotion and Disease Prevention, 2021May17",NA,"Not_comparison"
"MullerpatanRajaniRMGM School of Physiotherapy, 2021Apr",NA,"Not_comparison"
"DouradoV ZVZDepartment of Human Movement Sciences (Laboratory of Epidemiology and Human Movement - EPIMOV), 2021Nov-Dec","Exercise equipment",NA
"HornbuckleLyndsey MLM0000-0003-0217-3004Department of Kinesiology, 2021May01",NA,"Not_comparison"
"HsuChing-YiCYDepartment of Healthcare Administration, 2021Apr23",NA,"Not_comparison"
"ParkSoo-YongSYDepartment of Sport and Exercise Science, 2021Dec","Cognitive focus",NA
"GreenDaniel JDJSchool of Human Sciences (Exercise and Sport Science), 2021Oct01",NA,"Not_comparison"
"BotoseneanuAndaADepartment of Health and Human Services and Institute of Gerontology, 2021Jul15",NA,"Not_comparison"
"BesserLilah MLMDepartment of Urban and Regional Planning, 2021Jul",NA,"Not_comparison"
"J&#xf6;rresMarcMCharit&#xe9; - Universit&#xe4;tsmedizin Berlin, 2021",NA,"Not_comparison"
"PothierKristellKResearch Centre, 2021Jul01","Cognitive focus",NA
"MinnellaEnrico MariaEMDepartment of Anesthesia, 2021Nov","Disease-related",NA
"MurukesuResshaya RoobiniRRPhysiotherapy Programme, 2021","Cognitive focus",NA
"SheinSteven LSL0000-0003-3382-5159Division of Pediatric Critical Care Medicine, 2021",NA,"Not_comparison"
"MuolloValentinaVDepartment of Medicine, 2021Apr09",NA,"Not_comparison"
"KnottSkySDoctor of Physical Therapy Program, 2021 Oct-Dec 01",NA,"Not_comparison"
"KossiOy&#xe9;n&#xe9;O0000-0001-9117-7191HAVAE (Handicap, 2021Jul","Exercise equipment",NA
"AbeKokiK0000-0003-4990-5751Department of Nephrology, 2020","Disease-related",NA
"BentonJack SJS0000-0002-7129-550XManchester Centre for Health Psychology, 2021Jan27",NA,"Not_comparison"
"ReillyCarolineCClinical Exercise and Respiratory Physiology Research Group, 2022May",NA,"Not_comparison"
"DawkinsNathan PNP0000-0002-6374-7908Diabetes Research Centre, 2021Jan",NA,"Not_comparison"
"KariukiJacob KJK0000-0003-2423-6029School of Nursing, 2021Oct","Cognitive focus",NA
"BesserLilah MLMInstitute for Human Health and Disease Intervention (I-HEALTH), 2021Mar","Cognitive focus",NA
"HerbolsheimerFlorianFDepartment of Gerontology, 2020",NA,"Not_comparison"
"BeagleAlexander JAJ0000-0002-2291-2612Department of Medicine, 2020Dec29",NA,"Not_comparison"
"YuJiabinJFaculty of Sport Science, 2020Dec11",NA,"Molecular/genetic focus"
"ChoiHyejungHDepartment of Counseling, 2021Jan",NA,"Not_comparison"
"Ngo-HuangAnAFrom the Departments of Palliative, 2021Apr01",NA,"Not_comparison"
"KritzMarleneM, 2021Jun01",NA,"Not_comparison"
"McEnteeMindy LML0000-0003-1671-4940College of Health Solutions, 2020Dec04",NA,"Not_comparison"
"BarkerKaren LKL0000-0001-9363-0383Nuffield Department of Orthopaedics, 2020Nov",NA,"Not_comparison"
"SherringtonCatherineCInstitute for Musculoskeletal Health, 2020Nov26","Publication type",NA
"WangFeifeiFInstitute of Health Promotion &amp; Sport Sciences, 2020Oct",NA,"Not_comparison"
"WuYanlinYDivision of Kinesiology, 2021Apr","Publication type",NA
"LeeHyeyeonH0000-0002-2312-2102College of Nursing, 2020Nov05","Cognitive focus",NA
"AnKi-YongKYFaculty of Kinesiology, 2020",NA,"Not_comparison"
"JanssenSteffi M JSMJBasalt Rehabilitation Centre, 2021Mar",NA,"Not_comparison"
"MasterHiralH0000-0003-0019-3087H. Master, 2021May","Publication type",NA
"CesarGuilherme MGMInstitute for Rehabilitation Science and Engineering at Madonna Rehabilitation Hospitals, 2020Dec",NA,"Not_comparison"
"LiuYujunY0000-0003-4115-9459Department of Human Development and Family Studies, 2021Oct-Dec",NA,"Not_comparison"
"FerrariGersonG0000-0003-3177-6576Laboratorio de Ciencias de la Actividad F&#xed;sica, 2020Oct01",NA,"Not_comparison"
"KrumpochSebastianSInstitute for Biomedicine of Aging, 2021Jan","Publication type",NA
"AlbertJustin AmadeusJA0000-0002-6121-792XConnected Healthcare, 2020Sep08","Exercise equipment",NA
"EJian-YuJYDepartment of Epidemiology, 2020Sep03","Disease-related",NA
"PortegijsErjaEFaculty of Sport and Health Sciences and Gerontology Research Center, 2020",NA,"Not_comparison"
"DibbenGrace OGO0000-0002-7254-5187University of Exeter Medical School, 2020",NA,"Molecular/genetic focus"
"FrodshamKayla MKM0000-0002-9239-8305Department of Psychology, 2020","Exercise equipment",NA
"FrancisKateKEdinburgh Medical School, 2021Jan","Publication type",NA
"ParkMisoMDepartment of Family Medicine, 2021Jan",NA,"Not_comparison"
"SchneiderJoachimJInstitute and Outpatient Clinic for Occupational and Social Medicine, 2021",NA,"Not_comparison"
"TsengVictoria LVLCenter for Community Outreach and Policy, 2020Sep-Oct",NA,"Not_comparison"
"KingAbby CACDepartment of Epidemiology &amp; Population Health, 2020Aug","Publication type",NA
"MaasakkersCarlijn MCMDepartment of Geriatrics/Radboud Alzheimer Center, 2020Jun22","Cognitive focus",NA
"SalisburyDereck LDL, 2020Dec01","Disease-related",NA
"PekasElizabeth JEJSchool of Health and Kinesiology, 2020May30",NA,"Molecular/genetic focus"
